vh_make_model,applied_car_ratio
uzqtsirvtxcfqnbp,1
uzrhbfduaqijosql,1
vafxeruawxlvrttn,1
vbjxuynqachujrmt,1
vbnagxwgmwirhnjt,1
vdetuihriafhetdl,1
vdwfxzfzbybhsmay,1
vfprhybczhnkefdf,1
vikmjrynreazqubj,1
vnsxpowqjjomnmac,1
vnxfpyxuciadydrl,1
vokpwtikxckeemdi,1
vomuvsgbhqzjwhgb,1
vpvsuuudxglarezp,1
vpvtqlxqaiejzrqo,1
vqdlslwzvwucentl,1
vrubhbzjguaxfmlc,1
vtgypuzvlawmkolb,1
vtmylwmvnssatjlh,1
vuqhkgrnmheydqku,1
vuvbtxegkdifkviv,1
vwerelrvyumnkbwk,1
vwjjtxhpebfhzzck,1
vxqfscklywhurrjp,1
vxumxjoeywcphfoo,1
vxvmxuncsxygbrzd,1
vzinjyeuiebqjmep,1
wcjrtzzkemciejsz,1
wcyahxrmwqvhmadq,1
wffzvseexopfwwjy,1
wgruytvmfzalzrtb,1
whcqrtwarljaqocm,1
whfzavgfbojmgezm,1
wlttiymytfacsrli,1
wmmjbitjeevklkzj,1
wniogbpezwqrinyt,1
wnrwtzbbxbvnmbqd,1
wofhkqytrnqvbije,1
wotupxkyxwcienzd,1
wqqxbrsnrtnuxjjl,1
wqsapwecaqwzorqn,1
wrpeamdcqpawnqag,1
wrzuftzqwoiwsmfc,1
wsfgxnwhxftjhpxw,1
wtxtgodhmneofvzz,1
wvnsmznngunxhcsb,1
wwmsynqlijbriqxy,1
wxcohilpavlwlnze,1
wxzfbqtarfurwcfw,1
wycspyzpbmhbnmda,1
wykcypxicfqltavz,1
wylaluxuyuqkytus,1
wyopladghryqlrlb,1
wyqgeeclrqbihfpk,1
xaaujpnniyiuhfql,1
xabkvgvnbqzrmnyc,1
xaklvfxsplowrglp,1
xbdjgmfolqdfvftr,1
xbhnetrbyfixuzmj,1
xcpcxksgiefkqznu,1
xcvdausiwfrjukgn,1
xebooruxiuwbpzdc,1
xewlloxrajhpbuwy,1
xgikerzyofvqsmnt,1
xhczitnzxmxxebeq,1
xieosvyuphbcyzul,1
xiwnirovwicymtif,1
xjnjmxyqemqqiejp,1
xjsnlswprucbsehn,1
xjsozzwcppavldee,1
xkqlmdeookbxzzhv,1
xndokrsndaodfknp,1
xnwekpoxnvwckfcp,1
xokomvoaaiyuedhu,1
xoueplwxwxrzasti,1
xpxsjmglcvcsxwdy,1
xqascjfdlnlxubce,1
xqydufxhniyjunrl,1
xrmvlihddtxlbzvw,1
xrxxucncrqtcgixl,1
xsfzlqjhqbcpswcz,1
xsonelzsqbpcodxe,1
xuioboiuzasnmuva,1
xuxdvcabcanlgmst,1
xxppvuhwmnezefxy,1
xyuwuxlpirkzkqdb,1
xzdakcdqrnwhtpdb,1
xzwnliotgalpusga,1
ybbdbpunwekygnto,1
ybmkbrazyartpatx,1
ybsenzutfrjternf,1
yfalryaixpzfoihd,1
ygctwjsvugjhuylz,1
yglorajvvrsviget,1
ygqjgwzgeierkcpj,1
ygsnfanduarpqvrn,1
yhotwssicqxqetep,1
yhzuhoixugafkonm,1
ykzumnthkadrzjdb,1
ylboorftnzombypn,1
yljpdxzmshdpmyhl,1
yobesdjweimafxnq,1
yohngmkmrueenrvs,1
yqrgxthbbzmruvwy,1
yqztzexmqeyeirmv,1
yrfmcopbrlmfinuq,1
yrnbnvvghdwvpayv,1
ysmwdnymkzsgskpv,1
ytckjafhdfppmrhv,1
ytornvfpgbsoizqr,1
yttvzqeuddvehiqu,1
yvlkrzgjhwrlyihc,1
yvuoearellwavkzs,1
yweystgylcxxranw,1
ywnimisaozuyjomi,1
yxovdmyzjzoutcek,1
yybjogamsfqljfpu,1
yzdbjmwwtofxmpaz,1
yzxgnwgpnrdprtbh,1
zagpnfpbwgeyeufr,1
zaiwfnldcznzgrfe,1
zayyxxzvekzuooyq,1
zbqqfjqpoluazvlo,1
zcqptmhakcmihiry,1
zczpxdcxdciitjcu,1
zedpyrfkmhzqxmaz,1
zeqmrfiqiusygxdd,1
zfesqldixdegnidi,1
zghfsejpgrfrqfdp,1
zhzmkwjsrgvudmmw,1
zkreetxvsoihwkgo,1
znppxsjvuytcambw,1
zojbyremtnxajomo,1
zoypfizhpbtpjwpv,1
zqjvnptshpgofkqc,1
zrclcvscjwdbabii,1
zrfduayrhhofpqtt,1
zsuewlbquazyrgvl,1
ztwsplndgicacmuu,1
zukemjnabmcizdzn,1
zuqrdemwihnexkpw,1
zvdpnzgvkjkoophv,1
zwutaiivgrxnrwat,1
zxvcbwcwoqnkxxbs,1
zycfmwxhaaaxdwpb,1
zzjxvhegwmgqodzk,1
zzubfikjmmfsxhbn,1
